Cube Name and Link,Discord,Twitter Link,Twitter,Pronouns,Cube Name,URL
Regular Cube,Anthony#1172,ahmattox,ahmattox,"he/him, they/them",Regular Cube,https://cubecobra.com/cube/overview/regular
Turbo Cube,Anthony#1172,ahmattox,ahmattox,"he/him, they/them",Turbo Cube,https://cubecobra.com/cube/overview/turbo
Creatureless Cube,beeks#2291,rolltotweet,rolltotweet,they/them,Creatureless Cube,https://cubecobra.com/cube/overview/no-creatures
Dragons of Winter's Night,Chill MtG#5975,ChillMtGTV,ChillMtGTV,he/him,Dragons of Winter's Night,https://cubecobra.com/cube/overview/down
Eleusis,CulticCube#6756,CulticCube,CulticCube,he/him,Eleusis,https://cubecobra.com/cube/overview/culticcube
Petty Nobility,CulticCube#6756,CulticCube,CulticCube,he/him,Petty Nobility,https://cubecobra.com/cube/overview/pettynobility
Dekkaru Cube,DEKKARU#2784,GwenDekker,GwenDekker,he/him,Dekkaru Cube,https://cubecobra.com/c/dekkaru
Tiny Leaders,DEKKARU#2784,GwenDekker,GwenDekker,he/him,Tiny Leaders,https://cubecobra.com/cube/overview/tinyleaders
Emma Partlow's Peasant Cube,EmmaPartlow#0071,emmadpartlow,emmadpartlow,"she/her, they/them",Emma Partlow's Peasant Cube,https://cubecobra.com/cube/list/emma-peasant-cube-2022
Old Border Foil Cube,GLHF Games#0204,glhf_games,glhf_games,he/him,Old Border Foil Cube,https://cubecobra.com/cube/list/obf
The Devoid Cube,isticle#5067,worklifevalue,worklifevalue,he/him,The Devoid Cube,https://cubecobra.com/cube/overview/devoid
Commander extravaganza!,Jibux#8904,GagnepainJb,GagnepainJb,he/him,Commander extravaganza!,https://cubecobra.com/cube/list/extravaganza
The Creative Cube,kModz#0889,kModzCubes,kModzCubes,he/him,The Creative Cube,https://cubecobra.com/cube/overview/creativecubecon
Data Generated Vintage Cube,l0gr1thm1k #8994,,,he/him,Data Generated Vintage Cube,https://cubecobra.com/cube/overview/data
Pulp Nouveau,landofMordor#8188,parkerlamascus,parkerlamascus,he/him,Pulp Nouveau,https://cubecobra.com/cube/list/pulpnouveau
The Live the Dream Cube,Linuka#1130,J_Beleren,J_Beleren,he/him,The Live the Dream Cube,https://cubecobra.com/cube/overview/LiveTheDream
Amonkar Desert,Luckylooter#1175,GoblinGathering,GoblinGathering,he/him,Amonkar Desert,https://cubecobra.com/cube/overview/amonkardesert
The Museum of Modern,Luckylooter#1175,GoblinGathering,GoblinGathering,he/him,The Museum of Modern,https://cubecobra.com/cube/overview/ModernMuseum
Derek’s Cube,Magicalhack#2262,DGallenMTG,DGallenMTG,he/him,Derek’s Cube,https://cubecobra.com/cube/overview/derek
Premodern Plus Cube,MichaelJheup#6092,CloudgoatRanger,CloudgoatRanger,he/him,Premodern Plus Cube,https://cubecobra.com/cube/overview/3hcz
StormTime,mjgrenier#2664,matt_grenier,matt_grenier,he/him,StormTime,https://cubecobra.com/cube/list/StormTime
May's Fae Cube,myagic #5701,myagic1,myagic1,she/her,May's Fae Cube,https://cubecobra.com/cube/overview/fairytale
Rainbow Synergy Cube,OnTheWind#1023,AetherVjorn,AetherVjorn,they/them,Rainbow Synergy Cube,https://cubecobra.com/cube/overview/rsc5
Khans Expanded Cube,raffsputin#5003,raff_sputin,raff_sputin,he/him,Khans Expanded Cube,https://cubecobra.com/cube/list/22e
The Buildaround Cube,ryancsaxe#0252,rcsaxe,rcsaxe,he/him,The Buildaround Cube,https://cubecobra.com/cube/list/buildaround
The Jund Cube,tpug#9728,tylerpug,tylerpug,he/him,The Jund Cube,https://cubecobra.com/cube/overview/jund-em-out
Uber Bear's Horror Cube,Uber Bear#4234,UberCubeMTGPod,UberCubeMTGPod,he/him,Uber Bear's Horror Cube,https://cubecobra.com/cube/overview/dzp
The Cascade Cube,Zarash (He/Him)#7550,improphilo,improphilo,he/him,The Cascade Cube,https://cubecobra.com/cube/overview/cascadecube